"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","IDX2010","A","2001",90.906763,
"AUS","GDPHRWKD","TOT","IDX2010","A","2002",92.171938,
"AUS","GDPHRWKD","TOT","IDX2010","A","2003",94.156918,
"AUS","GDPHRWKD","TOT","IDX2010","A","2004",93.886964,
"AUS","GDPHRWKD","TOT","IDX2010","A","2005",94.272838,
"AUS","GDPHRWKD","TOT","IDX2010","A","2006",94.818606,
"AUS","GDPHRWKD","TOT","IDX2010","A","2007",95.965075,
"AUS","GDPHRWKD","TOT","IDX2010","A","2008",99.338633,
"AUS","GDPHRWKD","TOT","IDX2010","A","2009",98.378273,
"AUS","GDPHRWKD","TOT","IDX2010","A","2010",100,
"AUS","GDPHRWKD","TOT","IDX2010","A","2011",101.159838,
"AUS","GDPHRWKD","TOT","IDX2010","A","2012",103.613731,
"AUS","GDPHRWKD","TOT","IDX2010","A","2013",105.382819,
"AUS","GDPHRWKD","TOT","IDX2010","A","2014",106.01822,
"AUS","GDPHRWKD","TOT","IDX2010","A","2015",108.78999,
"AUS","GDPHRWKD","TOT","IDX2010","A","2016",108.5439,
"AUS","GDPHRWKD","TOT","IDX2010","A","2017",109.731266,
"AUS","GDPHRWKD","TOT","IDX2010","A","2018",109.637168,"E"
"AUT","GDPHRWKD","TOT","IDX2010","A","2001",87.899575,
"AUT","GDPHRWKD","TOT","IDX2010","A","2002",89.597703,
"AUT","GDPHRWKD","TOT","IDX2010","A","2003",90.288588,
"AUT","GDPHRWKD","TOT","IDX2010","A","2004",92.070383,
"AUT","GDPHRWKD","TOT","IDX2010","A","2005",94.265766,
"AUT","GDPHRWKD","TOT","IDX2010","A","2006",96.788579,
"AUT","GDPHRWKD","TOT","IDX2010","A","2007",99.206522,
"AUT","GDPHRWKD","TOT","IDX2010","A","2008",99.205538,
"AUT","GDPHRWKD","TOT","IDX2010","A","2009",98.494621,
"AUT","GDPHRWKD","TOT","IDX2010","A","2010",100,
"AUT","GDPHRWKD","TOT","IDX2010","A","2011",101.022128,
"AUT","GDPHRWKD","TOT","IDX2010","A","2012",102.102479,
"AUT","GDPHRWKD","TOT","IDX2010","A","2013",102.775988,
